                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0359,                 10.503,                      0,                 2.3151,                 1.3881,                0.65791,                0.62868,                0.71257,                0.43178,                  8e-05,                   0.02,                  4e-05,                  3e-05,                    nan,                 10.561,                      0,                    nan,                    nan,             0.00055196,             0.00055196,             0.00055196
                      2,                 1.2276,                 10.104,                      0,                 2.0002,                 1.4785,                0.61742,                0.70146,                  0.709,                0.43725,                0.00019,                   0.04,                0.00012,                  4e-05,                    nan,                  10.26,                      0,                    nan,                    nan,              0.0010967,              0.0010967,              0.0010967
                      3,                 1.2651,                 10.076,                      0,                 1.9094,                 1.5041,                0.70512,                0.62903,                0.68226,                0.41057,                0.00018,                0.04667,                0.00012,                  4e-05,                    nan,                 10.115,                      0,                    nan,                    nan,              0.0016304,              0.0016304,              0.0016304
                      4,                 1.2875,                 9.7577,                      0,                 1.9191,                 1.5162,                0.75592,                0.52819,                0.64526,                0.34828,                0.00013,                0.02667,                  7e-05,                  3e-05,                    nan,                 10.018,                      0,                    nan,                    nan,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.3662,                 9.5398,                      0,                 1.8901,                 1.6105,                0.58959,                0.58813,                0.64109,                0.36481,                0.01626,                 0.0122,                0.00055,                  8e-05,                    nan,                 9.7217,                      0,                    nan,                    nan,               0.001601,               0.001601,               0.001601
                      6,                 1.4109,                 9.3244,                      0,                 1.8535,                 1.6087,                0.60982,                0.48132,                0.47003,                0.24711,                0.00017,                0.02667,                  9e-05,                  4e-05,                    nan,                  9.723,                      0,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.3847,                 9.2865,                      0,                 1.8077,                 1.5689,                 0.5437,                0.49984,                0.49713,                  0.282,                0.09663,                0.02439,                0.01664,                0.00173,                    nan,                  9.364,                      0,                    nan,                    nan,               0.001568,               0.001568,               0.001568
                      8,                 1.3562,                  9.197,                      0,                 1.7534,                 1.5635,                0.62608,                0.64743,                0.66145,                0.38361,                0.02602,                0.03659,                 0.0057,                0.00061,                    nan,                 9.1744,                      0,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                      9,                  1.327,                 9.0144,                      0,                 1.7036,                   1.51,                0.68269,                0.66075,                0.68031,                 0.4023,                0.07857,                0.07984,                0.02004,                0.00321,                    nan,                 9.0287,                      0,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                     10,                 1.2896,                 8.8175,                      0,                 1.6832,                 1.5377,                 0.7142,                0.71024,                0.77904,                  0.445,                0.17067,                0.14634,                0.09652,                0.01042,                    nan,                  8.858,                      0,                    nan,                    nan,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3369,                 8.7727,                      0,                 1.7282,                 1.5553,                0.55473,                0.47057,                0.50704,                0.31153,                0.03498,                0.03659,                0.00406,                0.00055,                    nan,                 8.9964,                      0,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                     12,                 1.3261,                 8.7869,                      0,                  1.679,                 1.5623,                0.57824,                0.49339,                0.56335,                0.32356,                0.10761,                0.07317,                0.04197,                0.00634,                    nan,                 8.9377,                      0,                    nan,                    nan,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.2636,                 8.7423,                      0,                 1.6412,                 1.4731,                0.66071,                0.64691,                0.68256,                0.42457,                0.21748,                0.08537,                0.05495,                0.00785,                    nan,                 8.7942,                      0,                    nan,                    nan,               0.001469,               0.001469,               0.001469
                     14,                 1.3204,                 8.6821,                      0,                 1.6408,                 1.5375,                 0.4947,                0.73262,                0.71381,                0.43115,                0.12513,                0.08537,                0.02768,                0.00511,                    nan,                  8.531,                      0,                    nan,                    nan,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2669,                 8.4401,                      0,                 1.5899,                 1.4869,                0.62966,                0.64045,                0.66197,                0.38508,                0.02909,                0.03106,                0.00742,                0.00079,                    nan,                 8.7854,                      0,                    nan,                    nan,               0.001436,               0.001436,               0.001436
                     16,                 1.2988,                 8.4283,                      0,                 1.6186,                 1.5185,                0.58662,                0.64976,                0.66387,                 0.3963,                0.09842,                0.07317,                0.03992,                0.00928,                    nan,                 8.4884,                      0,                    nan,                    nan,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.1883,                  8.554,                      0,                 1.5138,                 1.4525,                0.70926,                0.60084,                0.69947,                0.44282,                0.18494,                0.06098,                0.04505,                0.01748,                    nan,                 8.3987,                      0,                    nan,                    nan,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.2351,                 8.4082,                      0,                  1.585,                   1.49,                0.61009,                0.61821,                0.66557,                0.39234,                0.15445,                0.06098,                0.03741,                0.00669,                    nan,                 8.5758,                      0,                    nan,                    nan,              0.0013864,              0.0013864,              0.0013864
                     19,                  1.221,                 8.2011,                      0,                 1.4775,                 1.4686,                 0.6852,                0.65745,                0.73721,                0.47605,                0.12821,                0.07317,                0.03131,                0.00519,                    nan,                 8.1891,                      0,                    nan,                    nan,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.2149,                 8.5062,                      0,                 1.5023,                 1.4938,                0.67024,                0.68166,                0.70426,                0.44004,                 0.1798,                0.14081,                0.07163,                0.01427,                    nan,                 8.1641,                      0,                    nan,                    nan,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.2426,                 8.3346,                      0,                 1.4418,                 1.4829,                0.80494,                0.71137,                0.80471,                0.50808,                0.18489,                0.13528,                0.07912,                0.01892,                    nan,                 7.9788,                      0,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.1337,                 8.1021,                      0,                 1.3737,                 1.3624,                0.74621,                0.67245,                 0.7421,                0.46532,                0.18257,                0.14748,                 0.0854,                0.01774,                    nan,                 7.9404,                      0,                    nan,                    nan,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.1415,                 8.0784,                      0,                 1.3627,                 1.4227,                0.83627,                0.69633,                0.81458,                0.53163,                0.18014,                0.11642,                0.05449,                0.01287,                    nan,                 7.9423,                      0,                    nan,                    nan,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.1912,                 8.1753,                      0,                  1.419,                 1.4441,                0.73115,                0.75158,                0.78726,                0.53439,                0.16041,                 0.0987,                0.04972,                0.01067,                    nan,                 7.8074,                      0,                    nan,                    nan,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.1226,                 8.0144,                      0,                 1.4191,                  1.403,                0.81138,                 0.7813,                0.82388,                0.55141,                0.19048,                0.13415,                0.08919,                0.02442,                    nan,                  7.753,                      0,                    nan,                    nan,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.1095,                  7.792,                      0,                 1.3651,                 1.3917,                0.78281,                0.69398,                0.77095,                0.51585,                0.21624,                0.11089,                0.06427,                0.02315,                    nan,                 7.8118,                      0,                    nan,                    nan,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.0982,                 7.8435,                      0,                 1.2931,                 1.3937,                0.69168,                 0.7226,                0.76348,                0.51099,                0.18862,                0.14748,                0.07927,                0.01991,                    nan,                 7.8564,                      0,                    nan,                    nan,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.1396,                 7.9296,                      0,                 1.3127,                 1.3865,                0.78472,                0.72927,                0.80933,                0.48548,                0.29702,                0.19073,                0.15766,                0.02688,                    nan,                 7.6828,                      0,                    nan,                    nan,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.1024,                 7.8111,                      0,                  1.268,                 1.3975,                 0.7834,                0.80683,                0.83273,                0.47829,                0.25942,                0.19073,                0.15923,                  0.039,                    nan,                  7.681,                      0,                    nan,                    nan,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.0692,                 7.8032,                      0,                 1.2561,                 1.3662,                0.79077,                0.78442,                0.82105,                0.48787,                0.29443,                0.14748,                0.12379,                0.02767,                    nan,                 7.6626,                      0,                    nan,                    nan,              0.0011884,              0.0011884,              0.0011884
                     31,                  1.074,                 7.6021,                      0,                 1.2514,                 1.3824,                0.74866,                0.83252,                0.83662,                0.55463,                0.20124,                 0.1652,                0.10927,                0.01472,                    nan,                 7.6788,                      0,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.0962,                 7.8104,                      0,                 1.2986,                 1.3774,                0.72957,                0.74978,                0.82422,                0.51341,                0.27125,                0.15301,                0.11973,                0.01989,                    nan,                 7.7474,                      0,                    nan,                    nan,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.0347,                 7.4608,                      0,                  1.201,                 1.3425,                0.74308,                0.84683,                0.85227,                0.59596,                0.21006,                 0.1774,                0.11288,                0.02599,                    nan,                 7.5902,                      0,                    nan,                    nan,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.0086,                 7.6163,                      0,                 1.1288,                 1.3176,                0.74316,                0.83738,                0.84068,                 0.5562,                0.20402,                0.14108,                 0.1152,                0.03481,                    nan,                 7.5849,                      0,                    nan,                    nan,              0.0011224,              0.0011224,              0.0011224
                     35,                  1.024,                 7.5663,                      0,                 1.2329,                 1.3449,                0.66919,                0.75694,                0.75049,                0.52022,                0.20839,                0.17187,                0.09533,                0.01852,                    nan,                 7.6193,                      0,                    nan,                    nan,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0085,                 7.5825,                      0,                 1.2034,                  1.321,                0.82208,                0.75331,                0.82095,                0.56484,                0.31602,                0.14052,                0.10315,                0.02603,                    nan,                  7.798,                      0,                    nan,                    nan,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0405,                 7.5486,                      0,                 1.2355,                 1.3368,                0.80711,                0.73138,                0.82988,                0.56031,                0.34532,                 0.1652,                0.15555,                0.04194,                    nan,                 7.6305,                      0,                    nan,                    nan,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0144,                 7.6165,                      0,                 1.1799,                 1.3392,                0.85628,                0.80426,                0.86937,                0.57896,                0.21426,                0.22065,                0.15944,                0.03495,                    nan,                 7.4566,                      0,                    nan,                    nan,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0318,                 7.3834,                      0,                 1.1784,                 1.3378,                0.85807,                0.77138,                0.85943,                0.56242,                0.26586,                 0.1652,                0.13085,                0.03416,                    nan,                 7.4422,                      0,                    nan,                    nan,              0.0010399,              0.0010399,              0.0010399
                     40,                0.98963,                 7.4414,                      0,                 1.0964,                 1.3219,                0.83932,                0.84809,                 0.8876,                0.60188,                0.30704,                0.19626,                0.17704,                 0.0526,                    nan,                 7.3424,                      0,                    nan,                    nan,              0.0010234,              0.0010234,              0.0010234
                     41,                  1.004,                 7.4228,                      0,                  1.151,                 1.3118,                 0.7736,                0.77138,                0.82322,                0.52267,                 0.2021,                0.20179,                0.13513,                0.02812,                    nan,                 7.6092,                      0,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.9644,                 7.3099,                      0,                 1.0898,                 1.2845,                0.83476,                0.80218,                0.85239,                0.57255,                0.21686,                0.21512,                0.13319,                0.03014,                    nan,                 7.4353,                      0,                    nan,                    nan,             0.00099036,             0.00099036,             0.00099036
                     43,                0.94873,                 7.3448,                      0,                 1.1354,                  1.301,                0.80575,                0.81236,                0.87311,                0.57785,                0.26621,                0.22065,                   0.13,                0.03178,                    nan,                 7.3497,                      0,                    nan,                    nan,             0.00097386,             0.00097386,             0.00097386
                     44,                0.93771,                 7.0167,                      0,                 1.1085,                 1.2673,                0.70142,                0.76062,                0.82388,                0.55899,                0.29774,                0.22618,                 0.1826,                0.04543,                    nan,                 7.2956,                      0,                    nan,                    nan,             0.00095736,             0.00095736,             0.00095736
                     45,                0.97959,                 7.1156,                      0,                 1.0635,                 1.2956,                0.80108,                0.77805,                0.81154,                0.56049,                0.26371,                0.17854,                0.12733,                0.03613,                    nan,                 7.3096,                      0,                    nan,                    nan,             0.00094085,             0.00094085,             0.00094085
                     46,                0.99135,                   7.08,                      0,                 1.1112,                  1.308,                 0.7762,                0.80082,                0.85016,                0.56533,                0.31504,                0.20179,                0.18063,                0.03374,                    nan,                 7.2772,                      0,                    nan,                    nan,             0.00092435,             0.00092435,             0.00092435
                     47,                0.95192,                 7.0672,                      0,                  1.102,                 1.2791,                0.67022,                0.84911,                0.83456,                0.60402,                0.26209,                0.18407,                0.12749,                 0.0231,                    nan,                 7.1544,                      0,                    nan,                    nan,             0.00090785,             0.00090785,             0.00090785
                     48,                0.94173,                 7.1981,                      0,                 1.0579,                 1.3001,                0.82864,                0.72664,                0.83894,                0.58136,                0.19772,                0.13415,                0.07664,                0.01918,                    nan,                 7.3079,                      0,                    nan,                    nan,             0.00089134,             0.00089134,             0.00089134
                     49,                0.92643,                 7.1908,                      0,                 1.0209,                 1.2546,                0.65064,                0.84683,                0.81449,                0.55916,                0.24303,                0.14748,                0.08686,                 0.0286,                    nan,                 7.2001,                      0,                    nan,                    nan,             0.00087484,             0.00087484,             0.00087484
                     50,                0.97019,                 7.2122,                      0,                 1.0466,                 1.3022,                0.80124,                0.81698,                0.86113,                0.60133,                0.30331,                0.19626,                0.13521,                0.03706,                    nan,                 7.0921,                      0,                    nan,                    nan,             0.00085834,             0.00085834,             0.00085834
                     51,                0.94231,                 7.0673,                      0,                0.99633,                 1.2994,                0.80011,                0.79577,                 0.8572,                0.60982,                0.28006,                0.18407,                0.16858,                0.05238,                    nan,                 7.0409,                      0,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                     52,                 0.9325,                 6.9285,                      0,                 1.0612,                 1.2728,                0.81071,                  0.764,                0.85432,                0.57055,                0.25612,                0.22179,                0.16948,                0.04757,                    nan,                 7.1657,                      0,                    nan,                    nan,             0.00082533,             0.00082533,             0.00082533
                     53,                0.90981,                 7.0719,                      0,                 1.0406,                 1.2425,                0.82569,                0.75577,                0.86499,                0.62913,                0.25743,                0.23951,                0.17305,                0.04266,                    nan,                 7.0026,                      0,                    nan,                    nan,             0.00080883,             0.00080883,             0.00080883
                     54,                0.90636,                 6.9883,                      0,                0.99646,                 1.2539,                0.86671,                0.77252,                0.86542,                0.63844,                0.29077,                0.20846,                0.17261,                0.03669,                    nan,                 7.2255,                      0,                    nan,                    nan,             0.00079233,             0.00079233,             0.00079233
                     55,                0.84087,                 6.9104,                      0,                0.97327,                 1.1937,                0.86216,                 0.8013,                0.89388,                0.63276,                0.24346,                0.20846,                0.15112,                0.03707,                    nan,                  7.129,                      0,                    nan,                    nan,             0.00077582,             0.00077582,             0.00077582
                     56,                 0.8728,                  6.844,                      0,                0.97097,                 1.2352,                0.90347,                0.85502,                0.91986,                0.66239,                0.28063,                0.18959,                0.17225,                0.03856,                    nan,                 7.1181,                      0,                    nan,                    nan,             0.00075932,             0.00075932,             0.00075932
                     57,                0.87399,                 7.0368,                      0,                0.98742,                 1.2216,                0.87101,                0.84569,                0.91473,                0.63911,                0.25053,                0.25171,                0.18713,                0.04599,                    nan,                 6.9562,                      0,                    nan,                    nan,             0.00074282,             0.00074282,             0.00074282
                     58,                0.85081,                  6.883,                      0,                0.90082,                 1.2154,                  0.815,                0.79138,                0.86764,                0.61837,                0.41516,                0.23512,                0.22769,                0.04908,                    nan,                 7.0182,                      0,                    nan,                    nan,             0.00072631,             0.00072631,             0.00072631
                     59,                0.86374,                  6.819,                      0,                 0.9691,                 1.2106,                0.86247,                0.80623,                0.90855,                0.64765,                0.40062,                0.22651,                0.20053,                0.05186,                    nan,                 6.8576,                      0,                    nan,                    nan,             0.00070981,             0.00070981,             0.00070981
                     60,                0.85062,                 6.8364,                      0,                0.93872,                 1.2099,                0.91459,                 0.8568,                0.92755,                0.66551,                0.37145,                0.26618,                0.20705,                0.05191,                    nan,                 6.8624,                      0,                    nan,                    nan,             0.00069331,             0.00069331,             0.00069331
                     61,                0.82981,                 6.8417,                      0,                 0.9175,                 1.2127,                0.88734,                0.86169,                0.91688,                 0.6641,                0.32665,                 0.2839,                 0.2033,                0.05443,                    nan,                 6.8546,                      0,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     62,                0.82404,                 6.7478,                      0,                 0.8953,                 1.1966,                0.86968,                0.86159,                0.91131,                0.64034,                0.26241,                0.25601,                0.19412,                0.05447,                    nan,                 6.8437,                      0,                    nan,                    nan,              0.0006603,              0.0006603,              0.0006603
                     63,                0.86054,                 6.8204,                      0,                0.91867,                 1.2258,                0.84807,                0.85236,                0.90783,                0.63373,                0.33772,                0.30163,                0.23038,                0.05441,                    nan,                 6.7692,                      0,                    nan,                    nan,              0.0006438,              0.0006438,              0.0006438
                     64,                0.82626,                 6.6969,                      0,                0.90758,                 1.2085,                0.85995,                0.78467,                0.88957,                0.61683,                0.29431,                0.23285,                0.18944,                0.04875,                    nan,                 6.8549,                      0,                    nan,                    nan,             0.00062729,             0.00062729,             0.00062729
                     65,                0.81858,                 6.4975,                      0,                0.87276,                 1.2147,                0.81725,                0.84564,                0.88724,                0.62692,                0.33722,                0.23512,                0.21073,                0.05517,                    nan,                 6.7421,                      0,                    nan,                    nan,             0.00061079,             0.00061079,             0.00061079
                     66,                0.81389,                 6.7269,                      0,                0.87101,                 1.1765,                 0.7856,                0.89122,                0.90324,                0.63144,                0.26041,                0.30163,                0.21632,                0.06155,                    nan,                 6.7129,                      0,                    nan,                    nan,             0.00059429,             0.00059429,             0.00059429
                     67,                0.77354,                 6.7232,                      0,                0.85788,                 1.1596,                0.77478,                0.83448,                0.86064,                0.61226,                0.33264,                0.20862,                0.18484,                0.04568,                    nan,                 6.8019,                      0,                    nan,                    nan,             0.00057778,             0.00057778,             0.00057778
                     68,                 0.7861,                 6.3561,                      0,                0.81358,                 1.1704,                0.85177,                0.72602,                0.82593,                0.59907,                0.38615,                0.17854,                0.19317,                0.04769,                    nan,                 6.7588,                      0,                    nan,                    nan,             0.00056128,             0.00056128,             0.00056128
                     69,                0.83322,                 6.8443,                      0,                0.91866,                 1.2132,                0.77828,                0.74727,                0.82256,                0.57676,                0.40116,                0.18132,                0.17815,                0.03966,                    nan,                 6.8752,                      0,                    nan,                    nan,             0.00054478,             0.00054478,             0.00054478
                     70,                0.82519,                 6.6913,                      0,                0.92115,                 1.2232,                0.80265,                0.73154,                0.84124,                0.56829,                0.34245,                0.29171,                0.26221,                0.05024,                    nan,                 6.7352,                      0,                    nan,                    nan,             0.00052827,             0.00052827,             0.00052827
                     71,                0.82442,                 6.5476,                      0,                0.88672,                 1.1958,                0.77146,                0.81138,                0.85866,                0.61237,                0.45059,                0.24618,                0.25349,                0.05236,                    nan,                 6.7231,                      0,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     72,                0.76848,                 6.5365,                      0,                0.85871,                 1.1408,                0.82633,                0.79437,                0.86894,                0.60802,                 0.3273,                0.33382,                0.27835,                0.06519,                    nan,                 6.7015,                      0,                    nan,                    nan,             0.00049527,             0.00049527,             0.00049527
                     73,                0.72254,                 6.3125,                      0,                0.77729,                 1.1325,                0.78358,                0.86665,                0.89534,                0.67176,                0.42063,                0.24732,                0.24316,                0.05484,                    nan,                 6.6095,                      0,                    nan,                    nan,             0.00047876,             0.00047876,             0.00047876
                     74,                0.77983,                 6.4484,                      0,                0.83285,                 1.1664,                 0.7891,                0.88734,                 0.8888,                0.66035,                0.28778,                0.37154,                0.25775,                0.05587,                    nan,                 6.6438,                      0,                    nan,                    nan,             0.00046226,             0.00046226,             0.00046226
                     75,                0.72244,                 6.1731,                      0,                0.81267,                 1.1495,                0.83449,                0.87541,                0.91987,                0.66264,                0.30189,                0.33382,                 0.2062,                0.04934,                    nan,                 6.6213,                      0,                    nan,                    nan,             0.00044576,             0.00044576,             0.00044576
                     76,                0.70848,                 6.5513,                      0,                0.83058,                 1.1284,                0.80073,                0.85902,                0.89162,                0.64508,                 0.2753,                0.29724,                0.19144,                0.04704,                    nan,                 6.6109,                      0,                    nan,                    nan,             0.00042925,             0.00042925,             0.00042925
                     77,                0.75632,                 6.6197,                      0,                0.84556,                 1.1446,                0.81096,                0.84683,                0.89064,                0.64417,                0.30091,                0.33382,                0.23416,                0.06331,                    nan,                 6.6455,                      0,                    nan,                    nan,             0.00041275,             0.00041275,             0.00041275
                     78,                0.76998,                 6.2652,                      0,                 0.8515,                 1.1866,                 0.8048,                 0.8381,                0.88819,                0.65119,                0.41031,                0.28618,                0.22685,                 0.0611,                    nan,                  6.703,                      0,                    nan,                    nan,             0.00039625,             0.00039625,             0.00039625
                     79,                0.71911,                  6.428,                      0,                0.76095,                 1.1198,                0.85578,                0.86569,                0.91796,                0.66396,                0.40707,                0.28618,                0.25608,                0.06487,                    nan,                 6.6264,                      0,                    nan,                    nan,             0.00037974,             0.00037974,             0.00037974
                     80,                 0.7482,                 6.3796,                      0,                0.79818,                 1.1592,                0.89758,                0.85896,                0.91309,                0.63266,                0.32646,                0.31496,                0.23354,                0.05935,                    nan,                   6.62,                      0,                    nan,                    nan,             0.00036324,             0.00036324,             0.00036324
                     81,                0.73834,                 6.3262,                      0,                0.78367,                 1.1554,                0.88275,                0.82244,                0.90975,                0.64089,                0.42257,                0.30943,                0.26102,                0.06308,                    nan,                 6.6139,                      0,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     82,                0.75235,                 6.3094,                      0,                0.80903,                 1.1753,                0.85249,                0.87595,                 0.8984,                0.63987,                0.34486,                0.29057,                0.21884,                0.06887,                    nan,                 6.5089,                      0,                    nan,                    nan,             0.00033023,             0.00033023,             0.00033023
                     83,                0.74774,                 6.3795,                      0,                 0.8195,                 1.1628,                 0.8833,                0.82721,                0.90701,                0.64055,                0.37243,                 0.3161,                0.24925,                 0.0628,                    nan,                 6.5004,                      0,                    nan,                    nan,             0.00031373,             0.00031373,             0.00031373
                     84,                0.73485,                 6.1228,                      0,                0.82226,                 1.1529,                0.91397,                0.78244,                0.90898,                0.64611,                0.42162,                 0.3039,                0.27483,                0.07508,                    nan,                 6.4036,                      0,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     85,                0.71048,                 6.3708,                      0,                0.78904,                 1.1294,                0.87493,                0.86218,                0.92919,                0.66337,                0.41037,                0.37821,                 0.3035,                0.07398,                    nan,                 6.4075,                      0,                    nan,                    nan,             0.00028072,             0.00028072,             0.00028072
                     86,                0.69732,                 6.2896,                      0,                0.77715,                 1.1299,                0.84609,                0.89122,                0.91933,                 0.6499,                0.34219,                0.37924,                 0.2558,                0.06917,                    nan,                 6.4551,                      0,                    nan,                    nan,             0.00026422,             0.00026422,             0.00026422
                     87,                0.68203,                 6.1836,                      0,                0.77251,                 1.1246,                0.82623,                0.87122,                0.90775,                0.65457,                0.34468,                0.37707,                0.26823,                0.06608,                    nan,                 6.4474,                      0,                    nan,                    nan,             0.00024772,             0.00024772,             0.00024772
                     88,                0.67419,                 6.2928,                      0,                0.74807,                 1.1125,                0.87764,                0.87019,                0.93636,                0.68897,                0.41302,                0.34715,                0.27462,                0.06808,                    nan,                  6.433,                      0,                    nan,                    nan,             0.00023121,             0.00023121,             0.00023121
                     89,                0.67956,                 6.1827,                      0,                0.77952,                 1.1321,                0.93455,                0.81328,                0.93339,                0.68153,                 0.3325,                0.33382,                0.24115,                0.06879,                    nan,                 6.3527,                      0,                    nan,                    nan,             0.00021471,             0.00021471,             0.00021471
                     90,                0.71638,                 6.0254,                      0,                0.75892,                 1.1369,                0.84816,                0.83591,                0.91506,                0.67093,                0.34443,                0.34049,                0.24742,                0.06281,                    nan,                  6.362,                      0,                    nan,                    nan,             0.00019821,             0.00019821,             0.00019821
                     91,                0.54341,                  5.294,                      0,                0.53575,                 1.0148,                0.82581,                0.82683,                0.89931,                0.66357,                0.46462,                0.33763,                0.28405,                0.06619,                    nan,                  6.363,                      0,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     92,                 0.5165,                 5.3383,                      0,                0.51695,                 1.0221,                0.86525,                0.77805,                0.89068,                0.65521,                0.42615,                0.31724,                0.29281,                0.07145,                    nan,                 6.3644,                      0,                    nan,                    nan,              0.0001652,              0.0001652,              0.0001652
                     93,                0.48468,                 5.1372,                      0,                0.48427,                0.99188,                0.85268,                0.81843,                0.89051,                0.66877,                0.33534,                0.33496,                0.24994,                0.06047,                    nan,                 6.3596,                      0,                    nan,                    nan,              0.0001487,              0.0001487,              0.0001487
                     94,                0.47869,                  5.343,                      0,                0.47176,                0.97452,                0.87046,                0.80358,                0.90864,                0.68523,                0.35914,                0.33496,                0.26809,                0.06871,                    nan,                 6.3026,                      0,                    nan,                    nan,             0.00013219,             0.00013219,             0.00013219
                     95,                0.47001,                 5.2114,                      0,                 0.4742,                0.98147,                 0.8974,                 0.7995,                0.92265,                0.69799,                0.39522,                0.34715,                0.29061,                0.07648,                    nan,                 6.2929,                      0,                    nan,                    nan,             0.00011569,             0.00011569,             0.00011569
                     96,                0.48192,                 5.1005,                      0,                0.46615,                0.98804,                0.92282,                0.82701,                0.92972,                0.70837,                0.37577,                0.32829,                0.26167,                0.07072,                    nan,                  6.322,                      0,                    nan,                    nan,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.48068,                 4.9929,                      0,                0.47308,                 1.0106,                0.91042,                0.83577,                0.92619,                0.70318,                0.30763,                0.36602,                0.26367,                0.06787,                    nan,                 6.3323,                      0,                    nan,                    nan,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.46715,                 5.1439,                      0,                0.46451,                0.99403,                0.86462,                0.86472,                0.91711,                0.68712,                0.31488,                0.34715,                0.25853,                0.07316,                    nan,                 6.3054,                      0,                    nan,                    nan,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.45543,                 5.1864,                      0,                0.46094,                0.98001,                0.84715,                0.89008,                0.90982,                0.68967,                0.33178,                0.36602,                0.25673,                0.07273,                    nan,                 6.2968,                      0,                    nan,                    nan,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.46968,                 5.0236,                      0,                0.47106,                0.98815,                0.84219,                0.89627,                0.91348,                0.69158,                0.33971,                0.37721,                0.28864,                 0.0737,                    nan,                 6.2907,                      0,                    nan,                    nan,             3.3173e-05,             3.3173e-05,             3.3173e-05
